generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
96,447,1.1606203045170289e-05,2.0260478689272244e-05,1.7013507830351146e-05,2.1558363513862542e-06
97,444,1.1606203045170289e-05,2.0260478689272244e-05,1.7088864135490343e-05,2.0716707500693894e-06
98,430,1.1606203045170289e-05,2.0260478689272244e-05,1.722802247201726e-05,2.067362488771497e-06
99,431,1.1788173547702388e-05,2.1503302143654555e-05,1.7127149451917195e-05,2.0703986180319077e-06
100,457,1.1122362630134913e-05,2.2419098359660125e-05,1.7254716485914277e-05,1.995711891415407e-06
101,426,1.1122362630134913e-05,2.2419098359660125e-05,1.739381255701063e-05,2.006639988319095e-06
102,442,1.0851546908231544e-05,2.2419098359660125e-05,1.7394298379561784e-05,2.0342527911009465e-06
103,438,1.1231073573664676e-05,2.2419098359660125e-05,1.7440225747645945e-05,2.02370516116034e-06
104,433,1.1231073573664676e-05,2.2419098359660125e-05,1.767470849471695e-05,1.970704560640216e-06
105,418,1.1181467849998741e-05,2.1503302143654555e-05,1.7755501175011304e-05,1.911845243491578e-06
106,429,1.2225648920370855e-05,2.1503302143654555e-05,1.7695678260764365e-05,1.9132809030231395e-06
107,432,1.1463044481889094e-05,2.1503302143654555e-05,1.768994484517612e-05,1.90256617789086e-06
108,445,1.1463044481889094e-05,2.1503302143654555e-05,1.763790956545684e-05,1.8923811960668363e-06
109,422,1.1910365672006804e-05,2.1503302143654555e-05,1.758943424256277e-05,1.886710536592731e-06
110,442,1.1116158393658097e-05,2.1503302143654555e-05,1.7591520399250596e-05,1.965214340523636e-06
111,430,1.1605157447743795e-05,2.1503302143654555e-05,1.76489106329842e-05,1.951390439669224e-06
112,431,1.1605157447743795e-05,2.1503302143654555e-05,1.7817481460330817e-05,1.944710499581059e-06
113,439,1.1605157447743795e-05,2.1503302143654555e-05,1.77350896826875e-05,1.993829823350577e-06
114,416,1.2412357939481454e-05,2.1503302143654555e-05,1.7679326718898187e-05,2.0248474918678997e-06
115,442,1.1619220821366916e-05,2.1503302143654555e-05,1.770520857072475e-05,2.068425566257467e-06
116,443,1.1619220821366916e-05,2.1503302143654555e-05,1.7691815140310855e-05,1.9816422511460127e-06
117,427,1.1619220821366916e-05,2.1503302143654555e-05,1.7755182518501874e-05,2.105300358576612e-06
118,436,1.1306308259706003e-05,2.1503302143654555e-05,1.7718860750040747e-05,2.2130487932070357e-06
119,440,1.1306308259706003e-05,2.1503302143654555e-05,1.7742320245921504e-05,2.16055364039002e-06
120,411,1.1306308259706003e-05,2.1503302143654555e-05,1.777113733574275e-05,2.1742540190535387e-06
121,427,1.1306308259706003e-05,2.1503302143654555e-05,1.7834535565488173e-05,2.072248912194672e-06
122,452,1.1783749205086352e-05,2.1503302143654555e-05,1.7787216134038012e-05,2.046200245707187e-06
123,425,1.1783749205086352e-05,2.1503302143654555e-05,1.7764627324358927e-05,2.002957143054003e-06
124,441,1.1638946007045416e-05,2.1503302143654555e-05,1.7684046079900043e-05,2.0841947188120403e-06
125,428,1.1760141766455015e-05,2.1503302143654555e-05,1.770308014483924e-05,2.098416742388847e-06
126,449,1.1760141766455015e-05,2.1186470044562775e-05,1.7753187603111114e-05,1.9828619188541686e-06
127,436,1.1706975992011206e-05,2.1186470044562775e-05,1.778728487158525e-05,2.053632636435544e-06
128,434,1.2053356628713632e-05,2.1186470044562775e-05,1.7991661846944743e-05,1.958985298883052e-06
129,445,1.2053356628713632e-05,2.1186470044562775e-05,1.7979902501728236e-05,1.9910133940856305e-06
